Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
35,35,11-May,@,NYY,"W,3-2",38,35,3,9,4,0,1,3,3,0,8,0,0,0,0,0,2,0,0.274,0.343,0.443,0.786,8,10,R,M.Pineda(56)
36,36,12-May,@,NYY,"W,5-1",40,38,5,11,1,0,1,5,2,0,11,0,0,0,0,0,1,0,0.274,0.342,0.441,0.784,8,10,L,J.Montgomery(46)
37,37,May 14 (1),@,NYY,"L,6-11",41,34,6,9,0,0,0,6,5,0,7,1,0,1,1,2,0,0,0.274,0.343,0.437,0.78,8,9,R,L.Severino(32)
38,38,May 14 (2),@,NYY,"W,10-7",41,36,10,10,1,0,4,9,2,0,9,1,0,1,0,0,0,0,0.274,0.343,0.442,0.785,4,10,R,M.Tanaka(11)
39,39,15-May,@,MIA,"W,7-2",40,34,7,8,3,0,2,7,4,2,6,2,0,0,0,1,0,0,0.273,0.343,0.444,0.786,6,14,R,D.Straily(67)
40,40,16-May,@,MIA,"W,12-2",47,42,12,14,2,0,2,11,5,0,9,0,0,0,1,0,0,0,0.275,0.345,0.446,0.791,8,13,R,T.Koehler(12)
41,41,17-May,@,MIA,"W,3-0",40,36,3,8,3,2,0,3,2,0,7,2,0,0,1,0,0,0,0.273,0.343,0.445,0.789,10,13,R,J.Urena(50)
42,42,19-May,,CLE,"L,3-5",34,32,3,5,1,0,2,3,2,0,11,0,0,0,0,0,0,0,0.271,0.341,0.444,0.784,4,10,R,T.Bauer(55)
43,43,20-May,,CLE,"L,0-3",30,28,0,3,0,0,0,0,2,0,10,0,0,0,1,1,0,1,0.268,0.337,0.437,0.775,3,10,R,M.Clevinger(79)
44,44,21-May,,CLE,"L,6-8",36,32,6,6,1,0,4,6,4,0,9,0,0,0,0,1,0,0,0.266,0.336,0.441,0.777,3,9,R,D.Salazar(53)
45,45,22-May,,DET,"W,1-0",34,32,1,9,3,0,0,1,2,0,7,0,0,0,0,1,0,0,0.266,0.336,0.439,0.775,9,10,R,M.Fulmer(60)
46,46,23-May,,DET,"W,6-2",37,32,6,8,1,0,2,4,3,1,4,1,0,1,2,1,1,1,0.266,0.336,0.44,0.776,7,9,R,J.Zimmermann(51)
47,47,24-May,,DET,"L,3-6",36,31,3,6,2,0,1,3,2,0,6,0,0,2,0,0,1,0,0.265,0.334,0.438,0.772,6,9,L,D.Norris(62)
48,48,25-May,,DET,"W,7-6",38,34,7,11,1,0,4,7,4,0,5,0,0,0,0,0,1,0,0.266,0.335,0.444,0.779,7,10,R,J.Verlander(28)
49,49,26-May,,BAL,"W,2-0",34,34,2,10,2,0,2,2,0,0,3,0,0,0,0,0,0,0,0.266,0.334,0.446,0.78,8,9,R,K.Gausman(52)
50,50,27-May,,BAL,"W,5-2",37,33,5,11,3,0,1,4,3,0,5,1,0,0,0,0,2,0,0.268,0.335,0.447,0.782,8,9,L,W.Miley(34)
51,51,28-May,,BAL,"W,8-4",36,34,8,11,4,1,1,7,1,0,6,1,0,0,0,1,0,0,0.269,0.336,0.45,0.786,4,9,R,A.Asher(20)
52,52,29-May,@,MIN,"W,16-8",50,44,16,18,4,0,3,15,5,0,6,1,0,0,0,0,0,0,0.272,0.34,0.456,0.796,7,11,R,E.Santana(65)
53,53,30-May,@,MIN,"W,7-2",41,33,7,10,1,0,1,5,6,0,8,1,0,1,0,3,0,0,0.273,0.341,0.455,0.797,7,9,R,J.Berrios(42)
54,54,31-May,@,MIN,"W,17-6",52,44,17,19,2,0,6,16,7,1,3,0,0,1,0,0,1,0,0.277,0.345,0.466,0.811,8,9,L,H.Santiago(33)
55,55,2-Jun,@,TEX,"W,7-1",41,37,7,9,3,0,2,7,2,0,12,2,0,0,1,0,2,0,0.276,0.345,0.466,0.811,7,10,R,Y.Darvish(48)
56,56,3-Jun,@,TEX,"W,6-5",42,39,6,12,1,0,2,5,3,0,4,0,0,0,0,0,1,0,0.277,0.345,0.467,0.811,9,10,R,A.Cashner(31)
57,57,4-Jun,@,TEX,"W,7-2",41,35,7,9,2,0,4,7,5,0,6,0,0,1,1,1,0,0,0.276,0.345,0.47,0.815,7,9,L,M.Perez(24)
58,58,5-Jun,@,KCR,"W,7-3",38,35,7,10,4,0,2,7,3,0,7,0,0,0,0,0,0,2,0.276,0.345,0.472,0.816,4,11,R,I.Kennedy(40)
59,59,6-Jun,@,KCR,"L,7-9",44,40,7,13,3,0,1,6,3,0,6,0,0,1,1,0,2,0,0.277,0.345,0.472,0.817,10,10,R,J.Junis(21)
60,60,7-Jun,@,KCR,"L,5-7",43,38,5,11,2,0,1,3,3,0,11,1,1,0,1,0,0,0,0.278,0.345,0.471,0.816,11,9,L,J.Vargas(51)
61,61,8-Jun,@,KCR,"W,6-1",38,35,6,9,2,1,1,5,2,0,8,0,0,1,0,0,0,0,0.277,0.344,0.471,0.815,5,10,R,J.Hammel(69)
62,62,9-Jun,,LAA,"L,4-9",34,33,4,8,1,0,1,4,1,0,4,0,0,0,0,1,0,0,0.277,0.343,0.469,0.812,3,10,R,M.Shoemaker(50)
63,63,10-Jun,,LAA,"W,3-1",33,30,3,10,2,0,1,3,1,0,2,1,0,1,0,2,0,1,0.277,0.344,0.469,0.813,6,10,R,R.Nolasco(55)
64,64,11-Jun,,LAA,"L,6-12",42,37,6,10,1,0,2,6,5,0,8,0,0,0,0,0,0,0,0.277,0.344,0.469,0.813,9,9,R,J.Chavez(28)
65,65,12-Jun,,TEX,"L,1-6",34,29,1,2,1,0,0,1,4,0,5,1,0,0,0,0,1,0,0.275,0.342,0.464,0.806,6,10,R,Y.Darvish(72)
66,66,13-Jun,,TEX,"L,2-4",34,32,2,7,1,0,2,2,2,0,4,0,0,0,0,0,0,1,0.274,0.341,0.464,0.805,5,9,R,N.Martinez(55)
67,67,14-Jun,,TEX,"W,13-2",46,40,13,19,4,0,2,13,4,0,7,2,0,0,0,1,0,0,0.277,0.344,0.469,0.813,9,11,R,A.Cashner(29)
68,68,16-Jun,,BOS,"L,1-2",34,29,1,6,2,0,1,1,5,1,6,0,0,0,0,3,2,0,0.276,0.344,0.468,0.812,6,11,L,D.Pomeranz(62)
69,69,17-Jun,,BOS,"W,7-1",35,32,7,11,5,0,2,6,1,0,5,0,0,2,0,1,0,0,0.277,0.344,0.47,0.815,4,9,R,R.Porcello(26)
70,70,18-Jun,,BOS,"L,5-6",45,38,5,14,3,0,3,5,6,0,8,1,0,0,0,1,0,1,0.279,0.346,0.474,0.82,13,12,L,D.Price(39)
71,71,19-Jun,@,OAK,"W,4-1",37,35,4,9,4,0,3,4,2,0,7,0,0,0,0,0,0,0,0.279,0.346,0.476,0.822,6,9,R,D.Gossett(60)
72,72,20-Jun,@,OAK,"W,8-4",45,37,8,11,4,0,2,8,6,0,8,2,0,0,1,1,1,1,0.279,0.347,0.477,0.824,10,9,R,S.Gray(34)
73,73,21-Jun,@,OAK,"W,5-1",40,37,5,10,1,0,1,5,2,0,9,0,0,1,1,0,0,0,0.279,0.346,0.476,0.822,8,9,L,S.Manaea(52)
74,74,22-Jun,@,OAK,"W,12-9",45,38,12,13,4,1,3,12,3,0,7,1,0,3,1,0,0,0,0.28,0.347,0.48,0.826,6,10,R,J.Hahn(3)
75,75,23-Jun,@,SEA,"L,3-13",38,36,3,10,3,0,2,3,2,0,7,0,0,0,0,1,1,0,0.28,0.346,0.481,0.827,8,9,R,F.Hernandez(49)
76,76,24-Jun,@,SEA,"W,5-2",40,35,5,9,3,0,1,5,4,1,7,0,0,0,0,1,0,0,0.279,0.346,0.48,0.826,8,9,R,S.Gaviglio(52)
77,77,25-Jun,@,SEA,"W,8-2",39,33,8,8,1,0,3,8,6,0,3,0,0,0,0,2,1,0,0.279,0.346,0.481,0.827,4,10,L,A.Miranda(53)
78,78,27-Jun,,OAK,"L,4-6",41,38,4,14,2,0,1,3,3,0,6,0,0,0,0,2,0,1,0.28,0.347,0.481,0.828,10,10,L,S.Manaea(47)
79,79,28-Jun,,OAK,"W,11-8",42,37,11,17,5,0,1,11,3,0,4,0,0,2,0,1,4,0,0.283,0.349,0.484,0.832,7,10,R,J.Hahn(15)
80,80,29-Jun,,OAK,"W,6-1",36,32,6,10,3,0,2,6,3,1,4,0,0,1,0,0,0,0,0.283,0.349,0.485,0.834,6,9,R,D.Gossett(33)
81,81,30-Jun,,NYY,"L,4-13",36,35,4,9,2,0,0,4,0,0,4,0,0,1,0,0,0,0,0.283,0.348,0.483,0.831,5,9,R,M.Pineda(51)
82,82,1-Jul,,NYY,"W,7-6",35,31,7,8,2,0,3,7,4,0,9,0,0,0,0,1,3,0,0.282,0.348,0.484,0.832,4,11,L,J.Montgomery(49)
83,83,2-Jul,,NYY,"W,8-1",42,38,8,14,7,0,2,8,2,0,8,1,0,0,0,0,0,0,0.283,0.349,0.487,0.836,10,11,R,L.Severino(32)
84,84,4-Jul,@,ATL,"W,16-4",49,43,16,19,7,0,3,16,5,1,5,1,0,0,0,1,0,0,0.286,0.351,0.492,0.843,6,14,L,S.Newcomb(12)
85,85,5-Jul,@,ATL,"W,10-4",44,41,10,16,7,0,0,10,2,1,7,1,0,0,0,0,4,1,0.287,0.352,0.493,0.845,7,14,L,J.Garcia(37)
86,86,6-Jul,@,TOR,"L,4-7",39,36,4,11,2,0,2,4,2,0,6,1,0,0,0,1,2,1,0.287,0.352,0.493,0.846,8,11,L,F.Liriano(45)
87,87,7-Jul,@,TOR,"W,12-2",45,39,12,14,4,0,4,12,5,0,9,0,0,1,1,2,1,0,0.288,0.353,0.497,0.85,6,10,R,A.Sanchez(11)
88,88,8-Jul,@,TOR,"L,2-7",33,30,2,7,1,0,1,2,3,0,7,0,0,0,0,2,0,1,0.288,0.353,0.496,0.848,4,9,R,M.Stroman(64)
89,89,9-Jul,@,TOR,"W,19-1",54,45,19,17,4,0,5,16,8,0,7,1,0,0,2,1,1,0,0.289,0.355,0.5,0.855,8,10,L,J.Happ(32)
90,90,14-Jul,,MIN,"W,10-5",44,37,10,14,3,0,2,10,5,1,5,1,0,1,1,1,0,0,0.29,0.356,0.501,0.857,10,9,R,J.Berrios(27)
91,91,15-Jul,,MIN,"L,2-4",40,33,2,7,1,0,1,2,6,0,4,1,0,0,0,0,1,0,0.289,0.356,0.5,0.856,11,9,R,E.Santana(52)
92,92,16-Jul,,MIN,"W,5-3",34,30,5,7,3,0,0,3,4,0,9,0,0,0,0,1,2,0,0.289,0.356,0.498,0.854,5,9,R,K.Gibson(46)
93,93,17-Jul,,SEA,"L,7-9",47,40,7,12,3,0,2,7,4,2,8,1,0,2,0,0,1,0,0.289,0.356,0.498,0.854,10,11,L,A.Miranda(40)
94,94,18-Jul,,SEA,"W,6-2",33,29,6,10,3,0,2,6,2,0,6,1,0,1,0,1,0,1,0.289,0.356,0.5,0.856,3,9,R,S.Gaviglio(37)
95,95,19-Jul,,SEA,"L,1-4",36,32,1,8,1,0,0,1,2,0,10,0,1,1,1,0,1,1,0.289,0.355,0.498,0.853,8,10,L,J.Paxton(67)
96,96,21-Jul,@,BAL,"W,8-7",42,41,8,16,2,1,3,8,1,0,5,0,0,0,0,2,2,0,0.29,0.356,0.5,0.856,7,9,R,U.Jimenez(28)
97,97,22-Jul,@,BAL,"W,8-4",43,41,8,15,2,0,3,8,0,0,9,1,0,1,1,0,0,1,0.291,0.356,0.502,0.858,8,10,R,C.Tillman(49)
98,98,23-Jul,@,BAL,"L,7-9",42,36,7,10,2,0,2,7,5,0,8,0,0,1,0,0,1,0,0.291,0.356,0.502,0.858,8,10,R,D.Bundy(25)
99,99,24-Jul,@,PHI,"W,13-4",50,41,13,18,5,1,2,13,6,0,6,1,0,1,0,2,0,0,0.293,0.358,0.505,0.863,10,15,R,V.Velasquez(29)
100,100,25-Jul,@,PHI,"W,5-0",35,32,5,7,1,1,0,5,2,0,8,0,0,1,0,0,2,1,0.292,0.357,0.503,0.86,3,14,R,N.Pivetta(46)
101,101,26-Jul,@,PHI,"L,0-9",36,35,0,9,2,0,0,0,1,0,13,0,0,0,0,1,0,0,0.292,0.356,0.501,0.858,9,15,R,A.Nola(73)
102,102,28-Jul,@,DET,"W,6-5",36,34,6,9,2,1,2,6,0,0,3,0,0,2,0,0,0,0,0.292,0.355,0.502,0.857,3,10,R,J.Zimmermann(55)
103,103,29-Jul,@,DET,"L,3-5",33,33,3,9,1,1,1,3,0,0,5,0,0,0,0,2,0,1,0.291,0.355,0.501,0.856,3,9,L,M.Boyd(55)
104,104,30-Jul,@,DET,"L,1-13",37,33,1,7,0,0,1,1,4,0,8,0,0,0,0,1,0,0,0.291,0.354,0.5,0.854,9,10,R,J.Verlander(65)
105,105,31-Jul,,TBR,"W,14-7",47,40,14,17,6,0,3,14,5,0,2,0,0,2,1,0,2,0,0.292,0.356,0.503,0.858,9,10,R,A.Cobb(7)
