Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
153,153,21-Sep,@,PHI,"W,5-4",40,34,5,7,1,1,2,4,4,0,7,1,0,1,1,0,0,0,0.248,0.334,0.435,0.769,8,21,R,M.Leiter(56)
154,154,22-Sep,,SFG,"W,4-2",33,29,4,5,2,0,1,4,3,0,8,1,0,0,0,0,1,0,0.248,0.333,0.435,0.768,5,15,R,J.Samardzija(39)
155,155,23-Sep,,SFG,"L,1-2",31,30,1,6,2,0,1,1,1,0,5,0,0,0,0,2,0,1,0.248,0.333,0.434,0.767,3,19,L,M.Bumgarner(69)
156,156,24-Sep,,SFG,"W,3-1",33,28,3,7,2,0,1,3,3,0,2,0,1,1,0,0,1,0,0.248,0.333,0.434,0.767,6,14,R,C.Stratton(40)
157,157,25-Sep,,SDP,"W,9-3",38,30,9,10,4,0,2,9,6,0,7,0,1,1,0,2,0,0,0.248,0.333,0.436,0.769,5,17,L,T.Wood(28)
158,158,26-Sep,,SDP,"W,9-2",44,35,9,11,4,0,3,9,9,1,9,0,0,0,0,0,1,0,0.249,0.334,0.437,0.771,11,22,R,D.Lamet(44)
159,159,27-Sep,,SDP,"W,10-0",38,34,10,12,2,0,3,10,3,0,9,0,0,1,1,2,0,0,0.249,0.334,0.439,0.773,4,18,L,C.Richard(27)
160,160,29-Sep,@,COL,"L,1-9",34,32,1,6,0,0,0,1,2,0,5,0,0,0,0,1,0,0,0.249,0.334,0.437,0.771,6,23,R,C.Bettis(68)
161,161,30-Sep,@,COL,"W,5-3",37,32,5,8,1,0,1,5,1,0,6,3,1,0,0,2,1,0,0.249,0.334,0.437,0.771,5,23,R,G.Marquez(49)
162,162,1-Oct,@,COL,"W,6-3",46,36,6,10,5,0,0,6,9,0,4,0,0,1,0,0,0,0,0.249,0.334,0.437,0.771,13,24,L,K.Freeland(40)
