Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
105,105,29-Jul,,KCR,"W,9-8",47,39,9,13,2,1,2,8,6,1,8,0,0,2,1,1,0,0,0.26,0.332,0.403,0.735,9,11,R,T.Cahill(26)
106,106,30-Jul,,KCR,"L,3-5",37,34,3,9,1,0,1,3,2,0,7,1,0,0,0,2,3,0,0.26,0.331,0.403,0.735,7,10,R,J.Hammel(57)
107,107,31-Jul,,CLE,"W,6-2",40,35,6,13,4,0,0,6,5,0,6,0,0,0,0,1,1,0,0.261,0.333,0.404,0.737,10,9,R,M.Clevinger(23)
108,108,1-Aug,,CLE,"W,12-10",45,40,12,15,6,0,2,12,4,1,7,1,0,0,0,1,0,0,0.263,0.334,0.407,0.741,7,10,R,C.Carrasco(21)
109,109,3-Aug,,CHW,"W,9-5",43,38,9,15,5,0,2,9,4,1,4,1,0,0,1,0,2,0,0.264,0.335,0.41,0.745,10,9,R,M.Gonzalez(13)
110,110,4-Aug,,CHW,"W,3-2",40,40,3,8,0,0,2,3,0,0,14,0,0,0,0,0,0,0,0.263,0.334,0.409,0.743,5,11,L,C.Rodon(70)
111,111,5-Aug,,CHW,"W,4-1",32,30,4,5,2,0,2,4,2,1,8,0,0,0,1,0,1,0,0.262,0.333,0.409,0.742,4,9,R,J.Shields(53)
112,112,6-Aug,,CHW,"W,6-3",36,29,6,8,2,0,3,6,5,1,6,2,0,0,0,1,3,1,0.263,0.334,0.411,0.745,6,9,R,M.Pelfrey(28)
113,113,8-Aug,@,TBR,"W,2-0",38,37,2,12,2,0,0,2,1,0,7,0,0,0,0,0,2,0,0.263,0.334,0.411,0.744,9,9,R,A.Pruitt(58)
114,114,9-Aug,@,TBR,"W,8-2",41,36,8,9,2,0,0,3,4,2,5,1,0,0,2,2,1,0,0.263,0.334,0.41,0.744,6,9,R,J.Odorizzi(48)
115,115,11-Aug,@,NYY,"L,4-5",40,33,4,8,1,0,2,4,6,1,8,0,0,1,0,0,0,0,0.263,0.334,0.41,0.744,9,10,L,J.Garcia(46)
