Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
83,83,5-Jul,,SDP,"L,2-6",38,38,2,14,5,0,0,2,0,0,9,0,0,0,0,2,0,0,0.259,0.333,0.433,0.766,9,12,R,L.Perdomo(47)
84,84,6-Jul,,SDP,"W,11-2",43,37,11,14,3,1,3,11,4,0,7,0,0,2,3,0,1,0,0.26,0.334,0.437,0.771,8,11,R,D.Lamet(29)
85,85,7-Jul,,DET,"W,11-2",45,37,11,16,3,1,2,11,7,1,5,0,0,1,0,2,1,0,0.262,0.337,0.441,0.778,10,11,R,J.Zimmermann(24)
86,86,8-Jul,,DET,"W,4-0",38,32,4,9,6,1,0,4,5,2,7,0,0,1,0,0,1,0,0.263,0.337,0.442,0.779,10,10,R,J.Verlander(60)
87,87,9-Jul,,DET,"L,3-5",38,34,3,8,1,0,1,3,4,1,4,0,0,0,0,1,0,0,0.262,0.337,0.441,0.778,8,12,R,M.Fulmer(48)
88,88,14-Jul,@,OAK,"L,0-5",33,32,0,4,1,0,0,0,1,0,11,0,0,0,1,0,1,0,0.261,0.335,0.438,0.773,6,10,R,S.Gray(72)
89,89,15-Jul,@,OAK,"L,3-5",35,31,3,5,0,0,1,3,4,0,6,0,0,0,0,0,1,1,0.26,0.334,0.436,0.77,5,9,R,P.Blackburn(50)
90,90,16-Jul,@,OAK,"L,3-7",37,34,3,8,4,0,1,3,3,0,11,0,0,0,0,1,2,0,0.259,0.334,0.436,0.77,7,11,L,S.Manaea(64)
91,91,17-Jul,@,SFG,"W,5-3",39,36,5,8,2,0,1,3,2,0,6,0,1,0,2,0,0,0,0.259,0.333,0.435,0.768,7,12,L,M.Moore(57)
92,92,18-Jul,@,SFG,"L,1-2",37,34,1,7,0,1,0,1,2,0,3,0,1,0,0,2,0,0,0.258,0.332,0.433,0.766,6,14,L,T.Blach(61)
93,93,19-Jul,@,SFG,"L,4-5",40,35,4,9,4,0,0,4,4,1,8,1,0,0,0,1,0,0,0.258,0.333,0.432,0.765,9,14,R,M.Cain(53)
94,94,21-Jul,,TOR,"W,13-3",44,38,13,15,5,1,2,13,5,0,8,1,0,0,0,0,1,0,0.26,0.334,0.436,0.77,7,11,R,M.Estrada(32)
95,95,22-Jul,,TOR,"W,2-1",38,32,2,6,1,0,1,2,6,1,10,0,0,0,0,1,1,0,0.259,0.334,0.435,0.769,9,11,R,M.Stroman(67)
96,96,23-Jul,,TOR,"W,8-1",41,37,8,12,3,0,1,8,4,0,5,0,0,0,1,0,0,0,0.26,0.335,0.435,0.77,9,11,L,J.Happ(26)
97,97,24-Jul,,CIN,"W,6-2",35,29,6,9,3,0,2,6,4,0,8,0,0,2,0,1,0,0,0.26,0.335,0.437,0.772,5,10,R,T.Adleman(41)
98,98,25-Jul,,LAA,"W,11-7",49,39,11,13,2,0,3,11,10,1,8,0,0,0,0,1,2,2,0.261,0.337,0.439,0.776,8,11,R,J.Chavez(18)
99,99,26-Jul,,LAA,"W,10-4",41,37,10,17,2,0,1,10,4,0,5,0,0,0,0,1,0,1,0.264,0.339,0.441,0.78,7,12,R,R.Nolasco(46)
100,100,27-Jul,,LAA,"W,2-1",33,26,2,5,1,0,1,2,6,0,6,0,1,0,0,1,1,0,0.263,0.339,0.44,0.779,7,11,R,J.Ramirez(54)
101,101,28-Jul,@,CHW,"W,9-3",46,40,9,16,1,0,3,9,5,1,0,1,0,0,0,2,0,0,0.265,0.34,0.443,0.783,10,11,L,D.Holland(16)
102,102,29-Jul,@,CHW,"W,5-4",46,34,5,8,2,0,0,5,7,0,6,2,1,2,2,0,1,0,0.264,0.341,0.441,0.782,14,11,R,M.Gonzalez(47)
103,103,30-Jul,@,CHW,"L,1-3",36,34,1,8,2,0,1,1,2,0,11,0,0,0,0,1,4,0,0.264,0.34,0.441,0.781,8,11,L,C.Rodon(65)
104,104,31-Jul,@,BOS,"L,2-6",34,32,2,7,0,0,1,2,2,0,6,0,0,0,0,1,0,0,0.264,0.34,0.439,0.779,5,9,R,D.Fister(64)
105,105,1-Aug,@,BOS,"L,10-12",43,39,10,13,3,0,4,9,3,0,9,0,1,0,0,1,2,0,0.264,0.34,0.442,0.783,6,10,L,C.Sale(27)
106,106,3-Aug,,NYY,"W,5-1",34,31,5,5,1,0,1,4,3,0,7,0,0,0,2,0,0,0,0.263,0.339,0.441,0.78,5,9,R,S.Gray(55)
107,107,4-Aug,,NYY,"W,7-2",35,30,7,8,3,0,0,4,4,0,10,0,0,1,0,1,1,0,0.263,0.339,0.441,0.78,4,11,L,J.Garcia(32)
108,108,5-Aug,,NYY,"L,1-2",33,33,1,6,1,0,1,1,0,0,12,0,0,0,0,0,0,0,0.263,0.338,0.439,0.777,5,10,L,J.Montgomery(64)
109,109,6-Aug,,NYY,"L,1-8",30,29,1,2,0,0,1,1,1,0,10,0,0,0,0,0,0,0,0.261,0.336,0.437,0.773,2,11,R,L.Severino(74)
110,110,8-Aug,,COL,"W,4-1",36,31,4,6,1,0,1,4,5,0,4,0,0,0,0,1,0,0,0.261,0.336,0.436,0.772,6,11,R,G.Marquez(68)
111,111,9-Aug,,COL,"L,2-3",48,40,2,7,1,0,1,2,5,0,10,1,2,0,0,1,1,0,0.26,0.335,0.435,0.77,10,11,R,A.Senzatela(51)
112,112,10-Aug,@,TBR,"L,1-4",32,30,1,4,2,1,0,1,2,0,8,0,0,0,0,1,0,0,0.259,0.334,0.433,0.768,4,12,L,B.Snell(63)
113,113,11-Aug,@,TBR,"W,5-0",39,33,5,7,1,0,1,5,5,0,9,0,0,1,0,0,1,0,0.258,0.334,0.432,0.766,7,9,R,J.Faria(44)
114,114,12-Aug,@,TBR,"W,3-0",36,33,3,7,3,0,0,2,3,0,14,0,0,0,0,1,0,0,0.258,0.334,0.431,0.765,6,9,R,C.Archer(48)
115,115,13-Aug,@,TBR,"W,4-3",37,34,4,8,3,0,2,4,3,1,9,0,0,0,0,0,0,0,0.258,0.333,0.432,0.765,6,10,R,A.Pruitt(54)
116,116,14-Aug,@,BOS,"W,7-3",43,37,7,10,2,0,2,7,6,0,8,0,0,0,1,1,0,0,0.258,0.334,0.432,0.766,9,10,R,D.Fister(30)
117,117,15-Aug,@,MIN,"W,8-1",43,37,8,11,2,0,5,8,6,0,7,0,0,0,0,1,2,0,0.258,0.334,0.435,0.77,8,12,R,B.Colon(40)
118,118,Aug 17 (1),@,MIN,"W,9-3",46,39,9,14,1,0,2,9,3,0,5,4,0,0,1,2,0,1,0.259,0.336,0.436,0.772,10,11,R,K.Gibson(38)
119,119,Aug 17 (2),@,MIN,"L,2-4",32,29,2,3,0,1,1,2,3,0,7,0,0,0,0,1,0,0,0.258,0.335,0.435,0.77,3,9,R,A.Slegers(62)
120,120,18-Aug,@,KCR,"W,10-1",44,40,10,13,0,0,4,10,4,0,7,0,0,0,0,0,0,0,0.259,0.335,0.437,0.772,7,10,R,I.Kennedy(25)
121,121,19-Aug,@,KCR,"W,5-0",39,36,5,9,4,0,0,5,3,0,13,0,0,0,0,0,0,0,0.259,0.335,0.436,0.771,7,11,L,J.Vargas(40)
122,122,20-Aug,@,KCR,"L,4-7",38,35,4,8,1,1,1,4,2,0,5,0,0,1,1,0,2,0,0.258,0.334,0.436,0.77,7,9,R,J.Hammel(52)
123,123,21-Aug,,BOS,"W,5-4",35,31,5,7,1,0,1,4,3,0,9,0,1,0,0,0,0,0,0.258,0.334,0.436,0.769,6,10,L,E.Rodriguez(52)
124,124,22-Aug,,BOS,"L,1-9",29,26,1,1,0,0,1,1,2,0,6,1,0,0,0,2,0,0,0.257,0.333,0.434,0.766,1,10,R,D.Fister(85)
125,125,23-Aug,,BOS,"L,1-6",36,30,1,3,0,0,1,1,5,0,13,1,0,0,0,0,0,0,0.256,0.332,0.432,0.764,8,10,L,D.Pomeranz(69)
126,126,24-Aug,,BOS,"W,13-6",47,40,13,18,4,1,2,12,6,0,9,0,0,1,1,1,1,0,0.258,0.334,0.435,0.769,10,11,L,C.Sale(19)
127,127,25-Aug,,KCR,"W,4-0",36,33,4,10,1,0,1,4,3,0,4,0,0,0,0,1,2,0,0.258,0.334,0.435,0.769,8,10,L,J.Vargas(39)
128,128,26-Aug,,KCR,"W,4-0",33,30,4,6,0,0,3,4,3,0,5,0,0,0,0,0,1,0,0.257,0.334,0.435,0.769,5,10,R,J.Hammel(49)
129,129,27-Aug,,KCR,"W,12-0",44,38,12,17,3,0,3,12,6,0,5,0,0,0,0,3,0,0,0.259,0.335,0.438,0.774,8,12,L,E.Skoglund(11)
130,130,28-Aug,@,NYY,"W,6-2",36,32,6,6,1,0,4,5,4,0,12,0,0,0,0,0,2,0,0.259,0.335,0.439,0.774,3,9,R,L.Severino(58)
131,131,Aug 30 (1),@,NYY,"W,2-1",38,34,2,8,2,0,0,1,4,0,13,0,0,0,0,0,2,1,0.258,0.335,0.438,0.773,9,9,L,J.Garcia(51)
132,132,Aug 30 (2),@,NYY,"W,9-4",45,40,9,13,3,0,3,9,5,0,9,0,0,0,0,0,0,0,0.259,0.335,0.44,0.775,9,11,L,J.Montgomery(36)
133,133,Sep 1 (1),@,DET,"W,3-2",38,36,3,11,2,1,1,3,2,0,8,0,0,0,0,1,0,1,0.259,0.335,0.44,0.776,8,15,L,M.Boyd(56)
134,134,Sep 1 (2),@,DET,"W,10-0",46,40,10,15,4,0,1,10,4,0,8,1,0,1,0,1,0,0,0.26,0.336,0.441,0.778,9,12,R,B.Farmer(33)
135,135,2-Sep,@,DET,"W,5-2",43,41,5,14,3,2,0,5,0,0,4,2,0,0,0,0,0,0,0.261,0.337,0.442,0.779,11,11,R,J.Zimmermann(25)
136,136,3-Sep,@,DET,"W,11-1",52,43,11,16,6,0,3,11,9,1,6,0,0,0,0,1,0,0,0.262,0.338,0.445,0.783,14,15,L,C.Bell(25)
137,137,4-Sep,@,CHW,"W,5-3",38,34,5,10,3,0,2,5,4,0,6,0,0,0,0,1,0,1,0.262,0.338,0.445,0.784,6,10,R,J.Shields(48)
138,138,5-Sep,@,CHW,"W,9-4",45,35,9,10,2,0,4,9,7,0,4,3,0,0,0,1,1,0,0.263,0.339,0.447,0.786,9,11,L,D.Holmberg(21)
139,139,6-Sep,@,CHW,"W,5-1",43,35,5,8,1,0,1,5,7,0,4,0,0,1,2,1,0,0,0.262,0.339,0.446,0.786,11,13,R,R.Lopez(56)
