Team,IP,ERA,TBF,H,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA
Angels,686.1,4.62,3006,759,376,352,102,255,21,31,511,0.283,0.349,0.461,0.346
Astros,702,4.79,3031,739,398,374,108,245,6,19,610,0.27,0.332,0.463,0.34
Athletics,697.1,4.93,3045,737,408,382,103,242,16,23,588,0.268,0.33,0.44,0.33
Blue Jays,710.1,3.47,2966,635,303,274,87,223,6,27,640,0.235,0.299,0.384,0.297
Braves,697.2,4.63,3003,702,375,359,98,242,17,34,565,0.261,0.327,0.439,0.328
Brewers,691.1,4.47,3044,741,382,343,83,271,13,37,546,0.275,0.347,0.439,0.338
Cardinals,709.1,4.07,3040,710,352,321,81,253,18,23,632,0.261,0.326,0.415,0.319
Cubs,709.2,3.6,2924,579,309,284,90,240,12,33,686,0.221,0.293,0.37,0.288
Diamondbacks,700.1,4.61,3067,708,397,359,94,287,30,27,652,0.26,0.335,0.428,0.327
Dodgers,716,4.46,3038,673,377,355,97,248,23,29,728,0.247,0.315,0.409,0.311
Giants,716.1,3.82,2967,636,325,304,94,218,17,22,660,0.236,0.297,0.405,0.301
Indians,708,3.81,2967,642,329,300,84,236,25,18,694,0.24,0.304,0.393,0.299
Mariners,708,4.19,3032,712,362,330,95,242,18,27,612,0.261,0.325,0.425,0.322
Marlins,703,4.6,3085,715,380,359,87,301,33,25,654,0.264,0.34,0.425,0.328
Mets,702,3.77,2982,744,316,294,71,201,19,16,612,0.273,0.325,0.417,0.318
Nationals,704.1,3.62,2942,626,305,283,76,246,17,26,702,0.238,0.308,0.386,0.301
Orioles,700,4.64,3043,709,379,361,95,284,20,21,606,0.262,0.335,0.438,0.331
Padres,691,4.74,3027,694,387,364,90,312,22,26,589,0.263,0.343,0.435,0.334
Phillies,689,5.39,3009,749,433,413,91,237,13,25,587,0.278,0.338,0.456,0.339
Pirates,715.1,4.29,3108,747,371,341,102,261,13,27,625,0.27,0.336,0.448,0.336
Rangers,708,4.33,3033,684,366,341,91,284,10,26,572,0.255,0.329,0.409,0.32
Rays,690.1,4.62,2987,726,375,354,114,236,11,18,630,0.27,0.33,0.448,0.333
Red Sox,705.2,3.69,2938,607,314,289,80,248,9,23,686,0.23,0.3,0.369,0.292
Reds,700,5.21,3135,736,438,405,118,334,14,46,610,0.272,0.359,0.46,0.353
Rockies,693.1,4.4,3026,692,383,339,82,290,16,30,587,0.259,0.336,0.42,0.327
Royals,686.2,4.15,2941,676,341,317,115,253,3,31,619,0.257,0.328,0.439,0.331
Tigers,707,4.3,3022,721,364,338,75,244,18,25,601,0.266,0.329,0.411,0.319
Twins,696,5.06,3042,753,414,391,107,252,13,26,588,0.276,0.34,0.461,0.343
White Sox,710.2,4.5,3091,720,386,355,83,281,15,37,609,0.264,0.338,0.422,0.329
Yankees,694.1,4.37,2953,674,362,337,95,236,10,28,655,0.253,0.319,0.429,0.322
