Team,IP,ERA,TBF,H,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA
Angels,695.2,4.68,3006,713,377,362,96,229,22,27,553,0.263,0.324,0.434,0.327
Astros,700,3.95,2958,662,337,307,78,232,13,26,584,0.248,0.313,0.393,0.307
Athletics,702.2,4.62,3057,732,389,361,93,251,10,21,602,0.267,0.33,0.429,0.329
Blue Jays,706,4.42,3012,730,378,347,93,210,12,35,542,0.268,0.326,0.432,0.327
Braves,684.1,4.96,3007,767,401,377,105,261,26,22,529,0.287,0.353,0.476,0.355
Brewers,694,4.23,2983,691,348,326,63,278,16,26,591,0.262,0.336,0.402,0.322
Cardinals,711.2,3.19,2997,651,275,252,63,263,15,24,667,0.244,0.316,0.369,0.301
Cubs,716.1,3.33,2942,630,302,265,55,206,23,22,692,0.235,0.293,0.365,0.286
Diamondbacks,719.2,3.95,3045,689,341,316,96,249,16,23,587,0.252,0.318,0.419,0.319
Dodgers,698.2,3.92,2927,677,331,304,76,224,18,14,666,0.255,0.315,0.396,0.309
Giants,705.1,4.31,2989,701,351,338,99,222,20,30,554,0.26,0.321,0.437,0.326
Indians,705.2,3.39,2875,583,281,266,73,203,14,27,700,0.223,0.284,0.36,0.281
Mariners,713,4.63,3103,762,390,367,91,260,26,28,609,0.274,0.34,0.439,0.336
Marlins,682,4.37,2921,677,355,331,83,247,11,28,535,0.26,0.328,0.42,0.324
Mets,706.2,3.69,2980,678,323,290,73,196,23,25,639,0.25,0.305,0.385,0.299
Nationals,696.2,3.88,2928,688,326,300,73,183,17,32,656,0.258,0.311,0.399,0.308
Orioles,689.2,4.12,2969,685,340,316,79,270,20,29,599,0.26,0.333,0.422,0.327
Padres,701.1,4.44,3007,701,386,346,79,258,20,24,645,0.262,0.33,0.423,0.326
Phillies,694.1,5.09,3075,792,416,393,92,240,25,26,527,0.287,0.346,0.457,0.345
Pirates,720.2,3.47,3055,701,315,278,52,229,18,40,647,0.255,0.319,0.37,0.302
Rangers,702.2,4.02,3017,700,346,314,86,243,14,23,541,0.258,0.322,0.42,0.321
Rays,714.1,3.82,2995,647,318,303,84,249,13,26,639,0.241,0.31,0.39,0.306
Red Sox,712.1,4.37,3076,731,370,346,91,259,8,26,587,0.265,0.331,0.426,0.329
Reds,700.1,4.23,3012,683,363,329,82,263,20,22,554,0.256,0.325,0.423,0.323
Rockies,696,4.37,3034,701,361,338,83,292,21,25,552,0.262,0.339,0.428,0.332
Royals,720,3.79,3075,687,328,303,87,274,8,29,594,0.251,0.323,0.399,0.316
Tigers,695,5.09,3035,762,428,393,109,245,13,22,522,0.279,0.341,0.472,0.349
Twins,702,4.51,3037,761,377,352,84,217,17,21,516,0.277,0.331,0.433,0.33
White Sox,695.2,4.2,2984,739,363,325,78,207,12,28,640,0.273,0.329,0.428,0.327
Yankees,702.2,4.15,3021,729,340,324,77,234,10,22,673,0.267,0.327,0.414,0.322
