Team,IP,ERA,TBF,H,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA
Angels,745,3.25,3090,642,298,269,70,237,23,44,668,0.233,0.301,0.358,0.288
Astros,741,3.22,3007,646,281,265,70,191,4,17,696,0.233,0.285,0.372,0.287
Athletics,742,3.72,3071,670,340,307,79,223,9,26,577,0.241,0.301,0.372,0.294
Blue Jays,735,3.22,2972,623,292,263,80,187,8,24,575,0.228,0.281,0.375,0.285
Braves,741,3.91,3149,695,359,322,65,289,19,31,619,0.25,0.325,0.378,0.308
Brewers,741,4.32,3165,741,389,356,113,239,20,29,669,0.26,0.321,0.44,0.328
Cardinals,753,2.7,3137,708,250,226,60,214,22,21,662,0.248,0.304,0.364,0.291
Cubs,745,3.39,3055,646,306,281,79,201,15,24,739,0.231,0.287,0.379,0.29
Diamondbacks,747,4.14,3212,761,372,344,86,251,29,25,628,0.264,0.325,0.426,0.323
Dodgers,747,3.02,3005,640,264,251,69,171,14,24,730,0.23,0.28,0.349,0.275
Giants,739,3.18,3020,643,276,261,56,209,8,20,611,0.233,0.29,0.354,0.282
Indians,727,3.96,3029,691,359,320,88,222,13,21,707,0.251,0.31,0.41,0.312
Mariners,750,3.72,3120,668,336,310,90,231,15,42,674,0.238,0.304,0.386,0.301
Marlins,745,3.73,3129,697,323,309,58,261,14,24,617,0.25,0.317,0.374,0.303
Mets,756,3.23,3066,663,290,271,79,187,20,19,698,0.236,0.286,0.369,0.284
Nationals,738,3.38,3047,678,309,277,72,181,20,23,686,0.243,0.292,0.37,0.287
Orioles,745,3.99,3116,721,353,330,95,213,7,25,634,0.253,0.309,0.415,0.314
Padres,739,3.76,3086,670,345,309,92,258,15,30,748,0.243,0.312,0.405,0.312
Phillies,742,4.32,3257,800,393,356,99,248,12,35,626,0.273,0.336,0.433,0.334
Pirates,769,3,3160,691,281,256,58,224,20,35,691,0.241,0.303,0.353,0.288
Rangers,740,4.48,3198,759,387,368,85,265,15,40,554,0.266,0.334,0.418,0.327
Rays,739,3.67,3074,667,324,301,91,228,10,20,716,0.239,0.299,0.38,0.296
Red Sox,736,4.3,3149,755,383,352,87,219,9,36,631,0.263,0.322,0.422,0.323
Reds,753,4.46,3259,753,391,373,95,281,22,36,698,0.26,0.331,0.417,0.325
Rockies,730.1,5.68,3274,878,483,461,100,287,21,23,560,0.302,0.366,0.491,0.368
Royals,732,3.69,3037,685,313,300,68,215,2,23,566,0.248,0.305,0.393,0.305
Tigers,752,4.22,3153,729,375,353,84,244,19,24,578,0.257,0.319,0.417,0.318
Twins,741,3.66,3102,745,323,301,79,196,17,20,530,0.262,0.312,0.403,0.31
White Sox,757,3.78,3197,704,338,318,84,267,22,34,719,0.247,0.317,0.393,0.309
Yankees,755,3.92,3170,687,358,329,105,240,6,34,697,0.24,0.305,0.399,0.308
