Team,IP,ERA,TBF,H,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA
Angels,711.2,3.79,3015,635,320,300,71,271,17,35,623,0.238,0.314,0.361,0.302
Astros,698.2,4.25,3018,711,361,330,66,251,19,24,565,0.264,0.33,0.395,0.32
Athletics,719.1,3.28,2948,631,290,262,82,209,13,23,629,0.234,0.294,0.364,0.293
Blue Jays,696,4.28,3009,693,354,331,63,250,10,26,550,0.258,0.324,0.398,0.319
Braves,711,3.65,2999,688,310,288,54,238,14,22,574,0.257,0.32,0.376,0.309
Brewers,716.2,3.81,3048,712,332,303,75,234,16,24,582,0.258,0.321,0.4,0.319
Cardinals,695.2,3.6,2938,657,295,278,68,231,15,31,585,0.249,0.316,0.379,0.309
Cubs,708.1,4.41,3059,711,378,347,52,257,24,31,608,0.261,0.33,0.384,0.316
Diamondbacks,703.1,4.2,3037,728,359,328,68,265,25,27,617,0.27,0.339,0.41,0.33
Dodgers,709.2,3.63,2991,682,310,286,61,229,14,24,662,0.253,0.316,0.383,0.31
Giants,711,3.71,2948,674,326,293,79,194,17,27,563,0.251,0.306,0.403,0.312
Indians,712.1,3.78,3031,700,332,299,63,239,28,23,693,0.257,0.319,0.393,0.313
Mariners,717,3.43,3005,650,298,273,70,248,27,30,650,0.242,0.311,0.376,0.304
Marlins,706.2,4.22,3087,750,359,331,69,246,14,30,583,0.272,0.336,0.412,0.331
Mets,717.2,3.75,3027,677,332,299,70,243,19,22,632,0.248,0.313,0.384,0.309
Nationals,715.2,3.19,2928,661,276,254,65,167,13,29,614,0.245,0.295,0.376,0.297
Orioles,710.1,3.66,3004,672,308,289,83,234,14,32,591,0.249,0.314,0.401,0.316
Padres,690.2,4.04,2977,702,341,310,70,231,17,28,606,0.264,0.327,0.405,0.323
Phillies,701.1,4.13,3034,699,361,322,56,261,21,36,564,0.262,0.333,0.396,0.322
Pirates,703.1,3.8,2992,672,332,297,72,255,20,34,625,0.253,0.325,0.392,0.318
Rangers,688.1,4.22,3013,737,348,323,78,260,27,29,563,0.274,0.342,0.434,0.341
Rays,714.2,3.7,3016,656,323,294,79,237,11,32,699,0.242,0.309,0.382,0.307
Red Sox,720.2,3.96,3036,698,341,317,87,229,11,23,574,0.254,0.315,0.407,0.319
Reds,701,3.92,2973,657,326,305,75,248,19,33,569,0.248,0.318,0.391,0.314
Rockies,691,4.65,2997,703,374,357,83,265,14,30,549,0.267,0.337,0.433,0.339
Royals,710.2,3.1,2967,636,282,245,69,226,5,24,577,0.237,0.3,0.368,0.298
Tigers,724,3.85,3098,731,337,310,61,232,22,23,656,0.261,0.32,0.401,0.317
Twins,694,4.41,2983,746,358,340,75,202,12,24,514,0.275,0.327,0.425,0.33
White Sox,697,4.27,3043,722,366,331,63,282,23,34,498,0.269,0.343,0.399,0.329
Yankees,710,3.84,2999,680,338,303,67,199,8,37,636,0.249,0.307,0.388,0.308
